nsim,Total Bots,Total Draws,Total RF Wins,Total Perfect Wins,Total Games,Draw Rate,RF Win Rate,Perfect Win Rate
10,70,5,0,65,70,0.07142857142857142,0.0,0.9285714285714286
1000,15,0,0,15,15,0.0,0.0,1.0
5000,15,1,0,14,15,0.06666666666666667,0.0,0.9333333333333333
10000,55,3,0,52,55,0.05454545454545454,0.0,0.9454545454545454
30000,15,2,0,13,15,0.13333333333333333,0.0,0.8666666666666667
50000,55,14,0,41,55,0.2545454545454545,0.0,0.7454545454545455
75000,15,2,0,13,15,0.13333333333333333,0.0,0.8666666666666667
100000,45,22,0,23,45,0.4888888888888889,0.0,0.5111111111111111
20000,15,9,0,6,15,0.6,0.0,0.4
40000,55,29,0,26,55,0.5272727272727272,0.0,0.4727272727272727
60000,60,33,0,27,60,0.55,0.0,0.45
80000,55,39,0,16,55,0.7090909090909091,0.0,0.2909090909090909
100,60,44,0,16,60,0.7333333333333333,0.0,0.26666666666666666
500,35,27,0,8,35,0.7714285714285715,0.0,0.22857142857142856
2000,25,18,0,7,25,0.72,0.0,0.28
7000,35,29,0,6,35,0.8285714285714286,0.0,0.17142857142857143
12000,60,49,0,11,60,0.8166666666666667,0.0,0.18333333333333332
700000,15,14,0,1,15,0.9333333333333333,0.0,0.06666666666666667
900000,15,15,0,0,15,1.0,0.0,0.0
150000,15,15,0,0,15,1.0,0.0,0.0
200000,15,15,0,0,15,1.0,0.0,0.0
