nsim,bot_id,rf_wins,perfect_wins,draws,total_games
10000,Bot_10000_1,0,0,1,1
10000,Bot_10000_2,0,1,0,1
10000,Bot_10000_3,0,1,0,1
10000,Bot_10000_4,0,0,1,1
10000,Bot_10000_5,0,0,1,1
10000,Bot_10000_6,0,0,1,1
10000,Bot_10000_7,0,1,0,1
10000,Bot_10000_8,0,1,0,1
10000,Bot_10000_9,0,1,0,1
10000,Bot_10000_10,0,0,1,1
12000,Bot_12000_1,0,0,1,1
12000,Bot_12000_2,0,1,0,1
12000,Bot_12000_3,0,0,1,1
12000,Bot_12000_4,0,1,0,1
12000,Bot_12000_5,0,0,1,1
12000,Bot_12000_6,0,0,1,1
12000,Bot_12000_7,0,1,0,1
12000,Bot_12000_8,0,1,0,1
12000,Bot_12000_9,0,1,0,1
12000,Bot_12000_10,0,1,0,1
14000,Bot_14000_1,0,1,0,1
14000,Bot_14000_2,0,0,1,1
14000,Bot_14000_3,0,1,0,1
14000,Bot_14000_4,0,0,1,1
14000,Bot_14000_5,0,1,0,1
14000,Bot_14000_6,0,0,1,1
14000,Bot_14000_7,0,1,0,1
14000,Bot_14000_8,0,1,0,1
14000,Bot_14000_9,0,1,0,1
14000,Bot_14000_10,0,0,1,1
16000,Bot_16000_1,0,1,0,1
16000,Bot_16000_2,0,1,0,1
16000,Bot_16000_3,0,0,1,1
16000,Bot_16000_4,0,1,0,1
16000,Bot_16000_5,0,0,1,1
16000,Bot_16000_6,0,0,1,1
16000,Bot_16000_7,0,1,0,1
16000,Bot_16000_8,0,1,0,1
16000,Bot_16000_9,0,0,1,1
16000,Bot_16000_10,0,1,0,1
18000,Bot_18000_1,0,1,0,1
18000,Bot_18000_2,0,1,0,1
18000,Bot_18000_3,0,0,1,1
18000,Bot_18000_4,0,1,0,1
18000,Bot_18000_5,0,1,0,1
18000,Bot_18000_6,0,0,1,1
18000,Bot_18000_7,0,1,0,1
18000,Bot_18000_8,0,0,1,1
18000,Bot_18000_9,0,1,0,1
18000,Bot_18000_10,0,1,0,1
20000,Bot_20000_1,0,1,0,1
20000,Bot_20000_2,0,0,1,1
20000,Bot_20000_3,0,0,1,1
20000,Bot_20000_4,0,1,0,1
20000,Bot_20000_5,0,0,1,1
20000,Bot_20000_6,0,1,0,1
20000,Bot_20000_7,0,1,0,1
20000,Bot_20000_8,0,1,0,1
20000,Bot_20000_9,0,0,1,1
20000,Bot_20000_10,0,1,0,1
22000,Bot_22000_1,0,0,1,1
22000,Bot_22000_2,0,1,0,1
22000,Bot_22000_3,0,0,1,1
22000,Bot_22000_4,0,1,0,1
22000,Bot_22000_5,0,0,1,1
22000,Bot_22000_6,0,0,1,1
22000,Bot_22000_7,0,0,1,1
22000,Bot_22000_8,0,1,0,1
22000,Bot_22000_9,0,0,1,1
22000,Bot_22000_10,0,1,0,1
24000,Bot_24000_1,0,0,1,1
24000,Bot_24000_2,0,0,1,1
24000,Bot_24000_3,0,0,1,1
24000,Bot_24000_4,0,0,1,1
24000,Bot_24000_5,0,1,0,1
24000,Bot_24000_6,0,0,1,1
24000,Bot_24000_7,0,0,1,1
24000,Bot_24000_8,0,1,0,1
24000,Bot_24000_9,0,1,0,1
24000,Bot_24000_10,0,1,0,1
26000,Bot_26000_1,0,1,0,1
26000,Bot_26000_2,0,0,1,1
26000,Bot_26000_3,0,0,1,1
26000,Bot_26000_4,0,0,1,1
26000,Bot_26000_5,0,0,1,1
26000,Bot_26000_6,0,0,1,1
26000,Bot_26000_7,0,1,0,1
26000,Bot_26000_8,0,0,1,1
26000,Bot_26000_9,0,0,1,1
26000,Bot_26000_10,0,1,0,1
28000,Bot_28000_1,0,0,1,1
28000,Bot_28000_2,0,1,0,1
28000,Bot_28000_3,0,0,1,1
28000,Bot_28000_4,0,1,0,1
28000,Bot_28000_5,0,0,1,1
28000,Bot_28000_6,0,0,1,1
28000,Bot_28000_7,0,0,1,1
28000,Bot_28000_8,0,0,1,1
28000,Bot_28000_9,0,0,1,1
28000,Bot_28000_10,0,0,1,1
30000,Bot_30000_1,0,1,0,1
30000,Bot_30000_2,0,1,0,1
30000,Bot_30000_3,0,0,1,1
30000,Bot_30000_4,0,1,0,1
30000,Bot_30000_5,0,0,1,1
30000,Bot_30000_6,0,0,1,1
30000,Bot_30000_7,0,0,1,1
30000,Bot_30000_8,0,0,1,1
30000,Bot_30000_9,0,0,1,1
30000,Bot_30000_10,0,0,1,1
32000,Bot_32000_1,0,0,1,1
32000,Bot_32000_2,0,1,0,1
32000,Bot_32000_3,0,1,0,1
32000,Bot_32000_4,0,1,0,1
32000,Bot_32000_5,0,0,1,1
32000,Bot_32000_6,0,1,0,1
32000,Bot_32000_7,0,1,0,1
32000,Bot_32000_8,0,1,0,1
32000,Bot_32000_9,0,0,1,1
32000,Bot_32000_10,0,0,1,1
34000,Bot_34000_1,0,0,1,1
34000,Bot_34000_2,0,0,1,1
34000,Bot_34000_3,0,0,1,1
34000,Bot_34000_4,0,0,1,1
34000,Bot_34000_5,0,1,0,1
34000,Bot_34000_6,0,0,1,1
34000,Bot_34000_7,0,0,1,1
34000,Bot_34000_8,0,1,0,1
34000,Bot_34000_9,0,0,1,1
34000,Bot_34000_10,0,0,1,1
36000,Bot_36000_1,0,0,1,1
36000,Bot_36000_2,0,0,1,1
36000,Bot_36000_3,0,1,0,1
36000,Bot_36000_4,0,0,1,1
36000,Bot_36000_5,0,0,1,1
36000,Bot_36000_6,0,0,1,1
36000,Bot_36000_7,0,0,1,1
36000,Bot_36000_8,0,0,1,1
36000,Bot_36000_9,0,0,1,1
36000,Bot_36000_10,0,0,1,1
38000,Bot_38000_1,0,1,0,1
38000,Bot_38000_2,0,0,1,1
38000,Bot_38000_3,0,0,1,1
38000,Bot_38000_4,0,1,0,1
38000,Bot_38000_5,0,0,1,1
38000,Bot_38000_6,0,0,1,1
38000,Bot_38000_7,0,1,0,1
38000,Bot_38000_8,0,0,1,1
38000,Bot_38000_9,0,1,0,1
38000,Bot_38000_10,0,1,0,1
40000,Bot_40000_1,0,0,1,1
40000,Bot_40000_2,0,1,0,1
40000,Bot_40000_3,0,0,1,1
40000,Bot_40000_4,0,1,0,1
40000,Bot_40000_5,0,0,1,1
40000,Bot_40000_6,0,1,0,1
40000,Bot_40000_7,0,0,1,1
40000,Bot_40000_8,0,1,0,1
40000,Bot_40000_9,0,0,1,1
40000,Bot_40000_10,0,0,1,1
42000,Bot_42000_1,0,0,1,1
42000,Bot_42000_2,0,1,0,1
42000,Bot_42000_3,0,0,1,1
42000,Bot_42000_4,0,0,1,1
42000,Bot_42000_5,0,0,1,1
42000,Bot_42000_6,0,0,1,1
42000,Bot_42000_7,0,0,1,1
42000,Bot_42000_8,0,0,1,1
42000,Bot_42000_9,0,1,0,1
42000,Bot_42000_10,0,0,1,1
44000,Bot_44000_1,0,0,1,1
44000,Bot_44000_2,0,0,1,1
44000,Bot_44000_3,0,1,0,1
44000,Bot_44000_4,0,0,1,1
44000,Bot_44000_5,0,0,1,1
44000,Bot_44000_6,0,0,1,1
44000,Bot_44000_7,0,0,1,1
44000,Bot_44000_8,0,0,1,1
44000,Bot_44000_9,0,0,1,1
44000,Bot_44000_10,0,0,1,1
46000,Bot_46000_1,0,1,0,1
46000,Bot_46000_2,0,0,1,1
46000,Bot_46000_3,0,0,1,1
46000,Bot_46000_4,0,1,0,1
46000,Bot_46000_5,0,0,1,1
46000,Bot_46000_6,0,0,1,1
46000,Bot_46000_7,0,0,1,1
46000,Bot_46000_8,0,1,0,1
46000,Bot_46000_9,0,0,1,1
46000,Bot_46000_10,0,1,0,1
48000,Bot_48000_1,0,0,1,1
48000,Bot_48000_2,0,0,1,1
48000,Bot_48000_3,0,0,1,1
48000,Bot_48000_4,0,0,1,1
48000,Bot_48000_5,0,0,1,1
48000,Bot_48000_6,0,1,0,1
48000,Bot_48000_7,0,0,1,1
48000,Bot_48000_8,0,0,1,1
48000,Bot_48000_9,0,1,0,1
48000,Bot_48000_10,0,1,0,1
50000,Bot_50000_1,0,0,1,1
50000,Bot_50000_2,0,0,1,1
50000,Bot_50000_3,0,0,1,1
50000,Bot_50000_4,0,1,0,1
50000,Bot_50000_5,0,1,0,1
50000,Bot_50000_6,0,0,1,1
50000,Bot_50000_7,0,0,1,1
50000,Bot_50000_8,0,0,1,1
50000,Bot_50000_9,0,0,1,1
50000,Bot_50000_10,0,1,0,1
52000,Bot_52000_1,0,0,1,1
52000,Bot_52000_2,0,0,1,1
52000,Bot_52000_3,0,1,0,1
