nsim,Total Unique Elements Sampled
1,1.0
101,100.75
201,200.0
301,299.25
401,398.25
501,496.5
601,592.5
701,689.25
801,789.25
901,886.5
1001,983.75
1101,1083.75
1201,1176.5
1301,1267.25
1401,1369.25
1501,1456.75
1601,1557.25
1701,1654.0
1801,1743.5
1901,1835.25
2001,1926.25
2101,2020.75
2201,2107.75
2301,2203.25
2401,2296.5
2501,2377.25
2601,2476.25
2701,2580.25
2801,2656.75
2901,2754.5
3001,2843.75
3101,2933.25
3201,3021.0
3301,3093.5
3401,3191.5
3501,3286.5
3601,3379.75
3701,3453.0
3801,3544.75
3901,3638.25
4001,3702.0
4101,3799.5
4201,3887.5
4301,3967.5
4401,4052.5
4501,4148.25
4601,4245.75
4701,4316.0
4801,4406.25
4901,4489.5
5001,4586.25
5101,4645.5
5201,4727.0
5301,4815.25
5401,4908.75
5501,4975.0
5601,5045.0
5701,5150.0
5801,5213.25
5901,5294.5
6001,5377.25
6101,5441.25
6201,5522.5
6301,5602.75
6401,5677.5
6501,5772.0
6601,5859.75
6701,5945.0
6801,5999.0
6901,6082.5
7001,6163.25
7101,6241.5
7201,6312.25
7301,6375.75
7401,6445.5
7501,6537.5
7601,6627.5
7701,6689.25
7801,6775.5
7901,6852.5
8001,6928.25
8101,7026.25
8201,7079.25
8301,7134.75
8401,7229.75
8501,7290.0
8601,7346.0
8701,7450.25
8801,7495.25
8901,7592.5
9001,7663.0
9101,7711.25
9201,7777.5
9301,7859.0
9401,7946.25
9501,8010.0
9601,8090.0
9701,8134.0
9801,8188.0
9901,8272.5
10001,8367.75
10101,8424.25
10201,8474.5
10301,8546.25
10401,8633.5
10501,8673.75
10601,8752.5
10701,8808.0
10801,8890.75
10901,8949.5
11001,9006.25
11101,9086.75
11201,9144.5
11301,9231.75
11401,9283.75
11501,9343.75
11601,9419.5
11701,9487.25
11801,9558.75
11901,9625.5
12001,9681.75
12101,9734.5
12201,9781.25
12301,9873.0
12401,9913.0
12501,9989.75
12601,10075.5
12701,10137.0
12801,10219.5
12901,10226.25
13001,10248.25
13101,10362.25
13201,10409.75
13301,10496.75
13401,10578.75
13501,10594.75
13601,10661.0
13701,10752.75
13801,10763.5
13901,10841.25
14001,10901.75
14101,10956.0
14201,11023.5
14301,11097.25
14401,11147.5
14501,11185.25
14601,11259.25
14701,11252.0
14801,11379.25
14901,11413.0
15001,11483.0
15101,11566.0
15201,11587.5
15301,11676.5
15401,11729.5
15501,11777.0
15601,11847.75
15701,11875.5
15801,11910.25
15901,11960.5
16001,12055.25
16101,12116.0
16201,12147.0
16301,12206.0
16401,12251.25
16501,12345.5
16601,12401.25
16701,12442.5
16801,12503.75
16901,12518.0
17001,12587.75
17101,12650.0
17201,12680.5
17301,12712.75
17401,12791.75
17501,12822.25
17601,12904.25
17701,12961.25
17801,13031.75
17901,13085.5
18001,13105.75
18101,13164.75
18201,13244.0
18301,13284.25
18401,13302.75
18501,13346.0
18601,13464.5
18701,13492.25
18801,13543.5
18901,13581.75
19001,13596.0
19101,13648.25
19201,13707.25
19301,13798.25
19401,13837.0
19501,13805.0
19601,13909.25
19701,13943.5
19801,14039.25
19901,14038.75
20001,14131.5
20101,14127.0
20201,14187.0
20301,14238.0
20401,14264.0
20501,14343.5
20601,14364.75
20701,14448.75
20801,14509.25
20901,14536.5
21001,14544.5
21101,14600.25
21201,14672.25
21301,14716.75
21401,14762.5
21501,14813.75
21601,14869.5
21701,14900.75
21801,14901.75
21901,15005.5
22001,15057.0
22101,15111.0
22201,15101.25
22301,15178.75
22401,15172.0
22501,15181.5
22601,15288.5
22701,15314.5
22801,15374.5
22901,15407.75
23001,15466.75
23101,15474.25
23201,15504.0
23301,15564.0
23401,15598.0
23501,15667.0
23601,15733.5
23701,15716.75
23801,15780.5
23901,15829.0
24001,15878.25
24101,15929.5
24201,15926.5
24301,15963.25
24401,16008.0
24501,16055.75
24601,16105.5
24701,16101.0
24801,16178.75
24901,16197.0
25001,16210.25
25101,16294.25
25201,16313.5
25301,16401.75
25401,16398.75
25501,16475.5
25601,16510.25
25701,16537.0
25801,16560.5
25901,16588.75
26001,16653.75
26101,16683.0
26201,16689.75
26301,16734.75
26401,16747.5
26501,16789.5
26601,16865.5
26701,16932.25
26801,16972.5
26901,16955.0
27001,16996.75
27101,17093.5
27201,17131.0
27301,17147.25
27401,17137.25
27501,17221.25
27601,17241.75
27701,17297.5
27801,17307.0
27901,17374.0
28001,17415.5
28101,17427.5
28201,17433.5
28301,17461.0
28401,17514.5
28501,17526.25
28601,17574.75
28701,17642.0
28801,17654.75
28901,17684.25
29001,17747.5
29101,17747.5
29201,17793.5
29301,17868.25
29401,17864.75
29501,17929.0
29601,17975.5
29701,17928.25
29801,17963.0
29901,18002.5
30001,18050.25
30101,18103.25
30201,18102.0
30301,18104.25
30401,18216.75
30501,18221.25
30601,18214.0
30701,18263.0
30801,18276.75
30901,18335.5
31001,18415.0
31101,18417.25
31201,18425.25
31301,18450.75
31401,18509.0
31501,18554.75
31601,18603.5
31701,18589.75
31801,18651.75
31901,18638.25
32001,18682.5
32101,18724.25
32201,18738.5
32301,18803.5
32401,18826.25
32501,18870.75
32601,18844.5
32701,18938.0
32801,18939.0
32901,18966.25
33001,18957.25
33101,19040.25
33201,19086.25
33301,19118.5
33401,19124.75
33501,19128.5
33601,19128.25
33701,19162.25
33801,19234.25
33901,19270.0
34001,19274.25
34101,19270.75
34201,19352.75
34301,19378.5
34401,19385.5
34501,19358.75
34601,19457.5
34701,19463.0
34801,19551.5
34901,19538.5
35001,19533.5
35101,19595.0
35201,19597.75
35301,19591.0
35401,19688.75
35501,19700.25
35601,19725.5
35701,19711.0
35801,19780.25
35901,19792.75
36001,19810.5
36101,19859.0
36201,19879.0
36301,19907.5
36401,19932.75
36501,19933.0
